Add New Layout Update,Add New Layout Update
An error occurred during saving a layout update: %s,An error occurred during saving a layout update: %s
AOE Layout,AOE Layout
AOE Layout Section,AOE Layout Section
Area,Area
Disabled,Disabled
Enabled,Enabled
From Date,From Date
Handle,Handle
ID,ID
Layout Update,Layout Update
"Layout Update ""%s""","Layout Update ""%s"""
Layout Update From,Layout Update From
Layout Update Properties,Layout Update Properties
Layout Update To,Layout Update To
"Leave blank for ""all packages""","Leave blank for ""all packages"""
"Leave blank for ""all themes""","Leave blank for ""all themes"""
Manage Layout Update,Manage Layout Update
New Layout Update,New Layout Update
Package,Package
Save and Continue Edit,Save and Continue Edit
Sort Order,Sort Order
Status,Status
The layout update has been deleted.,The layout update has been deleted.
The layout update has been saved,The layout update has been saved
Theme,Theme
Title,Title
To Date,To Date
Wrong layout update specified.,Wrong layout update specified.
